Project,PROOF Owners Holding,% PROOF Members Holding,% Project Held by PROOF Members,Project Floor,Total NFTs Held by PROOF Members,Total Value Held (ETH),Total Owners,Total Supply
Mcdonald's Job Application,1,0,0.1,0,1,0,598,"1,111"
Dverse Token,1,0,0.1,0,1,0,596,"1,909"
Time Variants NFT,1,0,0.4,0,5,0,595,"1,399"
Stray Cats  NFT,1,0,0.2,0,3,0,594,"1,441"
Collectible Figures,1,0,0.8,0,1,0,593,130
Metavaders,1,0,0.1,0,1,0,591,"1,664"
Winter Baby Ape Club,1,0,0.5,0,10,0.1,589,"2,000"
Sora's Dreamworld: LUCID DREAMING,1,0,0.3,0,5,0.1,584,"1,567"
Breeds,1,0,1,0,4,0,584,415
APY VISION NFT 2021,1,0,4.2,0.1,1,0.1,582,24
Purojekuto3333 by Hisoka Gaka,1,0,0.2,0.1,5,0.6,581,"2,188"
AnimalWorldWar,1,0,0.1,0,1,0,578,"1,728"
Drones- Afrodroids,1,0,0.1,0,2,0,576,"2,967"
Metaminds,1,0,0.1,0,2,0,576,"1,600"
Derpy Apes,1,0,0.4,0,10,0.3,572,"2,514"
Rockbunn,1,0,3.5,0,106,0.5,570,"3,040"
SpaceAliensNFT,1,0,0.2,0,1,0,570,629
PudgyDoodles,1,0,0.5,0,20,0,570,"4,029"
Flow Fields GenArt,1,0,0.2,0,2,0,569,"1,250"
StripperVille Marbles,1,0,0.2,0,5,0,568,"2,281"
SODA Official,1,0,0.1,0.1,1,0.1,567,"1,743"
Beyond Earth Races,1,0,0.3,0,3,0,567,"1,090"
Sers,1,0,0.1,0,1,0,565,"1,176"
KuddlyKoalasV2,1,0,0.1,0,1,0,564,"1,828"
GAMA SPACE STATION,1,0,0.2,0.2,4,0.7,561,"2,240"
UltraSoundBatClub,1,0,0.1,0,1,0,561,"1,434"
World of Boys Official,1,0,0.7,0,20,0,558,"2,818"
Actors Punks,1,0,0.4,0,1,0,558,273
Aped Punks,1,0,0.1,0,1,0,557,"1,000"
Pokemon-Punks,1,0,0.3,0,1,0,553,345
ABOMINATIONS.IO,1,0,0.1,0,2,0,553,"3,085"
AmeegosOfficialNFT,1,0,0.2,0,2,0,551,"1,356"
JK DAO,1,0,,0,1,0,551,1
Degen Santas,1,0,0.2,0,3,0,548,"1,541"
Coalition Crew,1,0,0.1,0.8,1,0.8,547,"1,010"
Dizzy Demons,1,0,0.1,0,1,0,547,"1,683"
Gangland Skulls,1,0,0.3,0.2,1,0.2,546,360
"Metasniper Beta Access - Do NOT BUY, BETA ACCESS ENDED",1,0,,0.1,1,0.1,546,1
Tiny Kills,1,0,1.2,0,16,0.2,544,"1,313"
The Spirals (thecolors.art),1,0,0.1,0,2,0,542,"2,121"
Sierpinski Triangles V2,1,0,0.1,0,3,0,542,"3,262"
Blocklete Golf,1,0,0.1,0,1,0,539,"1,952"
Genetic Chain - Midnight Runner Pass,1,0,0.2,0.5,1,0.5,538,568
Alien Samurai Dino Warriors,1,0,8.7,0,2,0,537,23
dadmfers,1,0,1.1,0,29,0,537,"2,594"
Bliomes,1,0,0.2,0,3,0,537,"1,364"
PsychoPunks NFT,1,0,0.5,0,9,0,536,"1,988"
ETH Burgers,1,0,0,0,1,0,534,"2,506"
EARLY METABILLIONAIRE,1,0,0.2,0.3,1,0.3,530,563
Cool Devils NFT,1,0,0,0,3,0,528,"10,019"
NFTZine,1,0,0.2,0,2,0,526,"1,000"
Net Gala,1,0,25,0,1,0,522,4
Elon DAO,1,0,0.4,0,4,0,518,969
Outlaw Gals Motorcycle Keys,1,0,0.2,0,1,0,516,570
Glitch Girls by GHOST GIRL,1,0,0.1,0.1,2,0.1,515,"1,555"
NEO TOKYO APES,1,0,0.2,0,10,0,511,"4,136"
Cybergirl Fashion,1,0,0,0,1,0,511,"3,330"
LODB Angels Collection,1,0,0.7,0,10,0,510,"1,438"
Intermezzo Tools,1,0,,0,1,0,509,1
LAMOverse,1,0,0.1,0.1,2,0.2,508,"2,868"
Winter Apes NFT,1,0,0.1,0,2,0,508,"1,443"
IreneDAO,1,0,0.3,0.6,3,1.7,503,"1,106"
PURR EVIL LAB,1,0,8.3,0,1,0,501,12
Mermaid Gang,1,0,0.1,0,1,0,500,871
SimpCards,1,0,0.2,0,2,0,499,888
RektPunk,1,0,0.7,0,10,0,498,"1,398"
Cells Genesis,1,0,0.1,0,2,0,497,"2,936"
MINIMALIZ,1,0,0.1,0,1,0,497,"1,017"
vech.io,1,0,0.2,0,3,0.1,496,"1,255"
Deep Sky Network,1,0,7.7,0,1,0,496,13
BentoBoxNFT,1,0,0.1,0,1,0,496,"1,568"
CoolAmongUs,1,0,0.2,0,5,0,495,"2,921"
Pass the Baton,1,0,0.1,0,2,0.1,494,"2,606"
Hidden Ninja Village,1,0,0.2,0,3,0,492,"1,468"
Pixel Women NFT,1,0,0,0,2,0,489,"5,555"
Hungry Pandas,1,0,0.2,0,2,0,488,925
Chibi Fighters Weapons,1,0,0.1,0,2,0,486,"2,354"
cMyKatz,1,0,0.1,0,10,0,485,"10,000"
MetalHeads,1,0,0.1,0,1,0,484,"1,200"
Vailiens,1,0,0,0.1,2,0.2,482,"6,294"
Crypto Duckies (on-chain),1,0,0.1,0.1,1,0.1,482,"1,513"
TheUndeadPunks,1,0,0.1,0,1,0,482,999
Monsters Bash,1,0,0.1,0,1,0,482,"1,519"
Cartlads,1,0,0.1,0.1,1,0.1,480,"1,001"
Superfuzz The Bad Batch,1,0,0.1,0.1,1,0.1,479,777
Kawaii Skull,1,0,0,0,1,0,479,"10,023"
PixaWizards,1,0,0.7,0.1,7,0.8,477,"1,000"
Barrely Naked,1,0,0.1,0,1,0,477,803
The Baby Kongz,1,0,3.6,0,160,0.3,476,"4,444"
CINDYDAO GENESIS,1,0,1.1,0,10,0.2,475,888
One Day Mint Pass,1,0,,0,1,0,474,1
ZombieTadpolez,1,0,0.1,0,1,0,474,"1,249"
Unidentified contract - OJq12Eho56,1,0,10.9,0.1,5,0.3,471,46
Moonopoly,1,0,0.5,0,1,0,470,189
The Order of the Golden Yacht,1,0,0.2,0,1,0,469,500
Evolutrees,1,0,0.1,0,1,0,469,"1,226"
TheCryptoApes,1,0,0.1,0,1,0,468,"1,000"
Dwarfs Alt World (DAW),1,0,0.4,0,4,0,468,"1,024"
Exponentials,1,0,0.9,0,7,0,467,820
Feather - eckIdCaEO2,1,0,0.5,0,5,0,467,949
Su Squares,1,0,0.3,0.1,25,3.1,465,"10,000"
Sublimes,1,0,0.2,0.2,2,0.4,465,"1,111"
Lau Hu Pao,1,0,0.1,0,1,0,465,915
AtomicAntzOfficial,1,0,0.2,0,2,0,465,"1,356"
MinersVIP Minerals,1,0,0.1,0,1,0,464,"1,545"
Cryptogs,1,0,0.2,0.1,10,1.2,463,"4,503"
CryptoNFTits,1,0,0.8,0,10,0,463,"1,326"
Thousand Ether Homepage,1,0,0.1,0.2,1,0.2,462,720
"Direwolves (OLD, READ DESC)",1,0,0.1,0,1,0,461,"1,581"
Bikerz Excite,1,0,0.2,0,2,0,460,"1,321"
ClubAi,1,0,0.1,0,1,0,460,"1,250"
AOZ_official,1,0,0.4,0,6,0.1,459,"1,584"
VAPES - Vertically Flipped Apes,1,0,0.3,0,10,0,456,"3,501"
THEM Hatters,1,0,0.2,0,5,0.1,455,"2,073"
Crypto Minis,1,0,0.1,0,1,0,454,"2,000"
Sussy Sharks,1,0,0.1,0.1,1,0.1,453,"1,000"
Rarebit Bunnies,1,0,0.3,0.1,1,0.1,451,305
Christmas Gambling Apes,1,0,0.1,0.3,1,0.3,450,777
PSS Bingo,1,0,0.2,0,1,0,450,493
Justin Roiland,1,0,0,0.1,1,0.1,449,"3,742"
TidesOfMagic,1,0,0.1,0,5,0,449,"5,441"
Cool Pixel Cats,1,0,0.1,0,1,0,449,945
Raccoons Club,1,0,0.2,0,3,0.1,447,"1,262"
Mazur's 13,1,0,,0,1,0,446,1
Crypto Doctors Official,1,0,0.1,0,1,0,445,"1,081"
PIXELVERSE NFT,1,0,0.1,0,1,0,445,"1,200"
RPC NFT Culture,1,0,25,0.1,1,0.1,443,4
TOES - TheOneEyedSmiley,1,0,0.3,0,4,0,440,"1,205"
Crypto Air (VaporwareX Labs),1,0,0.2,0,2,0,440,"1,348"
Citrus Kids,1,0,0.3,0,4,0.1,436,"1,606"
NOT VALID,1,0,0.2,0,2,0,435,943
BitChicks,1,0,0.1,0,1,0,435,"1,279"
Danny's Drawings,1,0,33.3,0.1,1,0.1,434,3
PURR EVIL,1,0,0.2,0,2,0.1,434,"1,135"
BearBrick Labs,1,0,0.2,0,2,0,432,"1,055"
888 Punks,1,0,0.1,0,1,0,432,888
SANJAY ROBOTS,1,0,0.3,0,5,0.1,431,"1,457"
GOATz Access Utility Token,1,0,0.1,0,1,0,431,731
boncuk,1,0,0.3,0,3,0,428,"1,024"
PSS MintPass,1,0,0.2,0,1,0,428,434
Hammys,1,0,0.1,0.1,1,0.1,427,"1,000"
Unc0vered,1,0,0.2,0,1,0,427,610
PaperPlane by FlyingClub.io,1,0,0.1,0.2,1,0.2,426,758
Tiny Ghost Genesis,1,0,0.2,0.3,1,0.3,424,666
The Crypto Trolls,1,0,0.1,0,2,0,424,"1,769"
Astrocryptids,1,0,0.8,0,24,0.2,423,"2,901"
Bored Degen Crypto Arcade Official,1,0,0.2,0,2,0,423,"1,101"
ElonPunks,1,0,0.5,0,5,0,423,990
Loomways,1,0,0.4,0,3,0.1,422,839
Golden Eaglez Kartel,1,0,0.1,0,1,0,420,"1,546"
Fatty Foodles,1,0,0.1,0,2,0,420,"2,000"
The Radiant Society Original,1,0,2.1,0,14,0.2,419,655
Neo Tokyo Part 2 Vault Cards,1,0,0,5.3,1,5.3,418,"2,500"
3D Chrome Punks by PSYCHDRE,1,0,0.1,0,1,0,418,"1,111"
Star Trek + CSC,1,0,0,0,1,0,418,"2,478"
Presale - FW,1,0,1,0,43,2.1,417,"4,243"
Genbit Bunnies,1,0,0.1,0,2,0,416,"1,415"
Dandy Ducks Club,1,0,0.4,0,3,0,415,850
CryptoCastles Official,1,0,0.1,0,1,0,415,"1,001"
PETS - The Evolution,1,0,0,0,1,0,411,"2,625"
Genesis Soulcops: Encrypted,1,0,0.1,0,2,0.1,408,"2,228"
VoxHoundz,1,0,0.5,0,7,0,408,"1,350"
Cyberpunkz Official,1,0,0.1,0,3,0.1,407,"4,367"
Space Punks Treasure Keys,1,0,50,0,2,0,407,4
Crypto Spirits NFT,1,0,0.1,0,1,0,407,"1,660"
Scavengers NFT Genesis,1,0,0.2,0.6,1,0.6,406,555
AniCats World NFT,1,0,0.1,0,1,0,406,"1,225"
Darkwinds,1,0,1.2,0,108,0.5,404,"8,945"
Hammered Dragon Winery,1,0,0.3,0,4,0.1,403,"1,267"
Neo Tokyo Part 3 Item Caches,1,0,0,1.9,1,1.9,401,"2,495"
Toy Frens,1,0,0.3,0,2,0.1,401,666
8th project,1,0,1.8,0.1,4,0.4,399,226
Celebrities Punks,1,0,1.5,0,2,0.1,399,134
My Banana Fucko,1,0,1,0,20,0,399,"1,955"
NFTweak Collection,1,0,4.2,0.1,1,0.1,398,24
Club Penguin NFT V1,1,0,0.9,0,20,0,398,"2,338"
Agora Citizenship S01,1,0,0.3,0,1,0,395,395
SoupxMondrian,1,0,66.7,0,2,0,393,3
Fast Food Meebits,1,0,0.1,0,1,0,393,"1,016"
Grissandy Miscellaneous,1,0,2.2,0,1,0,392,45
Blockchain Devs,1,0,0.4,0,5,0,391,"1,409"
HippoHotel.io,1,0,0.1,0,1,0,390,"1,074"
Loot (a Residence Card),1,0,0.1,0,2,0,390,"1,827"
The Vitaliks,1,0,0.6,0,7,0.1,389,"1,133"
CryptoMonkeyKing,1,0,0.3,0,9,0,389,"3,382"
Pilot Project,1,0,0.3,0,4,0,389,"1,266"
EGGTOMATONS,1,0,0.2,0,2,0,388,"1,114"
Niftydudes,1,0,0.1,0.2,1,0.2,387,"1,024"
Hash Garage,1,0,0.1,0,1,0,386,"1,469"
AI Pixel Buddies,1,0,0.1,0,1,0,385,"1,000"
Up Down Punks,1,0,0.8,0,20,0,382,"2,620"
The Crypto Buds,1,0,0.9,0,18,0,381,"2,040"
Mad Meerkat Burrow,1,0,0.6,0.2,5,1.1,379,777
isotile furnitures,1,0,21.4,0.1,3,0.2,378,14
SpaceShibes,1,0,0.1,0,1,0,378,"2,200"
OnChain Kudasai,1,0,0.4,0.2,2,0.4,377,500
Non Fungible Frens,1,0,0.3,0.1,3,0.2,377,"1,001"
DJENERATES DERIVATIVES,1,0,50,0,1,0,377,2
Neon Pudgy Penguins,1,0,0,0,1,0,376,"4,445"
EarlyBroadcasterComics,1,0,0.2,0.1,1,0.1,374,555
Dont Burn MEME,1,0,33.3,0.1,1,0.1,373,3
Ape Punks NFT,1,0,0.6,0,5,0,373,777
TubaDAO,1,0,0.5,0,5,0,372,"1,069"
SpaceWalker by Jaybee Draws,1,0,0.3,0.1,3,0.2,371,"1,111"
metaPengus,1,0,0.9,0,6,0.1,371,674
Plots on MARZ,1,0,0.1,0,3,0,371,"2,144"
Exoplanets: Beyond the 4001,1,0,0.1,0,2,0,371,"1,595"
Beanz X Budweiser Royalty,1,0,0.2,0,1,0,370,461
Dart Art Abstract,1,0,0.3,0,3,0,370,"1,112"
Ape Only,1,0,0.4,0.1,4,0.2,369,968
Enigma Economy NFT,1,0,0,0.3,3,0.9,367,"8,010"
Sprtyk X Budweiser Royalty,1,0,0.4,0,2,0,367,452
Billion Buns,1,0,0.1,0.1,1,0.1,365,888
SuperFarm Revv,1,0,0.1,0.1,1,0.1,365,819
Pythagorean Weapons,1,0,1.8,0,15,0,364,850
scorpio.world,1,0,0.1,0,1,0,363,"1,081"
MINDDS,1,0,0.3,0.1,1,0.1,362,305
Deed,1,0,1,0,18,0,362,"1,729"
AudiusCollectiblesLaunchToken,1,0,0.3,0.1,1,0.1,360,363
paopao X Budweiser Royalty,1,0,0.5,0,2,0.1,359,441
Lawless Lemmings,1,0,0.1,0,1,0,359,763
Lil Baby Doodles,1,0,0.3,0,4,0,359,"1,432"
The Drops,1,0,0.2,0.1,1,0.1,358,438
The Higher Beings,1,0,0.2,0,2,0,358,"1,000"
Petri Collection,1,0,0.3,0,3,0,357,"1,115"
CatsOnChain (by PMD),1,0,0.2,0,2,0,356,"1,007"
High Giraffe Academy Official,1,0,0.5,0,3,0,356,650
Lil Benjas X Budweiser Royalty,1,0,0.2,0,1,0,355,440
Fast Food Punks Burgers,1,0,0.1,0,1,0,355,708
Glitch in the PunksMatrix,1,0,0,0,1,0,355,"6,831"
Feudalz,1,0,1.4,0.2,62,11.2,354,"4,444"
Jolly Elves,1,0,0.8,0,5,0.1,354,594
Women Doods,1,0,0.2,0,3,0,354,"2,060"
Go BaBy Go !!,1,0,0.2,0.7,1,0.7,353,500
Love Is Love - Shavonne Wong <3,1,0,0.2,0.1,1,0.1,352,500
Far Fetched Labs Original,1,0,0.1,0,1,0,351,"1,167"
Battle bears,1,0,1.5,0,40,0,351,"2,748"
Crypto Punk Frens,1,0,0.3,0,2,0,349,679
RIBONZ: Genesis,1,0,1.6,0,11,0.1,348,709
T:ME X Budweiser Royalty,1,0,0.2,0,1,0,348,450
Unidentified contract - jJ201dzIOi,1,0,,0,1,0,348,1
CrazyCyberBunny,1,0,0.2,0,3,0,348,"1,625"
Crypto Geishas,1,0,1,0.3,1,0.3,347,100
Shadow Legion,1,0,0.1,0,1,0,347,793
ToriiScapes,1,0,0.2,0.1,1,0.1,346,666
The Animal Kingdom Collection by AQOMI,1,0,1.4,0.2,1,0.2,345,70
COACHK - CLUB,1,0,50,0.8,1,0.8,344,2
Crypto Kombat Collection,1,0,7.7,0,6,0,344,78
The Cryptid Collective Official,1,0,0.2,0,2,0,344,912
SleepySloths NFT,1,0,0.3,0,2,0,343,669
Rocket Riders NFT,1,0,0.2,0,2,0.1,342,923
Unitize2020,1,0,0.7,0.2,4,0.8,339,601
MF,1,0,0,0,1,0,339,"2,385"
ARK // ANGELS,1,0,0.2,0,1,0,339,639
ILikeTurtles,1,0,1,0,10,0,338,"1,000"
Millie Go Lightly X Budweiser Royalty,1,0,0.2,0,1,0,337,424
Psytrance Pig,1,0,0.5,0,6,0.1,336,"1,195"
Forgotten Ethereal Worlds,1,0,0.3,8,1,8,335,345
0xAzuki,1,0,0.2,0,3,0,335,"2,062"
Baboon Brigade,1,0,0.1,0,1,0,334,819
Bastard,1,0,0.1,0,1,0,334,"1,000"
Invisible Noun,1,0,1.3,0,10,0,334,785
The Greats,1,0,0,0.4,1,0.4,333,"2,608"
Tentaverse Genesis Collection,1,0,1.4,0,14,0.3,333,"1,001"
CryptoAtoms,1,0,0.2,0.1,3,0.2,333,"1,420"
Mecha Chaotic: First Breach (Genesis),1,0,2.2,0.3,1,0.3,332,46
Genesis Rocks: 100-9999,1,0,0.1,0.1,1,0.1,332,920
Bit Wine,1,0,0.3,0,3,0.1,330,"1,000"
Bored Punks Club,1,0,0.2,0,2,0,330,"1,000"
FUD.finance Meme Token,1,0,11.8,0,2,0,330,17
PandaBugz,1,0,0.2,0,2,0,330,845
Project moved V3,1,0,0.2,0,1,0,330,666
yearn Gift NFT,1,0,0.3,0.1,1,0.1,329,397
The Red Ape Family,1,0,50,0.9,1,0.9,328,2
Breaking Panda,1,0,0.5,0,5,0.1,328,983
Chaos Algorithm,1,0,0.1,0,1,0,328,868
Larva Nouns,1,0,0.1,0,1,0,328,"1,501"
Thief Punks,1,0,0.1,0,1,0,328,999
LeapN Founders Deed World,1,0,0.2,1.2,1,1.2,327,603
Cyberpunk,1,0,0.2,0.1,1,0.1,327,661
punks.phunkmovement.io,1,0,0.1,88.8,1,88.8,326,839
The Haunted 5 - An 0N1 Story,1,0,2.6,0,2,0,325,77
Villains by Felt Zine,1,0,0.2,0,2,0,325,865
The NFT League,1,0,0,0,2,0,324,"5,000"
Exclusible Gold Alpha,1,0,0.3,3,1,3,323,384
Bored Ape Originals,1,0,1.9,0.1,1,0.1,322,54
PunkBatz,1,0,0.8,0,20,0,322,"2,562"
Root Project,1,0,0.1,0,1,0,321,"1,452"
Lil' Boomies,1,0,0.1,0,1,0,320,893
Diela Maharanie,1,0,2.8,0.1,1,0.1,319,36
Degen Reindeer,1,0,0.3,0,3,0,319,936
NudemeNFT,1,0,0.2,0,2,0.1,318,911
gorillabits,1,0,0.1,0,1,0,318,"1,000"
Small Turtles with Wings Official,1,0,0.2,0,3,0.1,317,"1,971"
Anime Punks,1,0,0.1,0.1,1,0.1,317,"1,000"
The Sleepless Mine Society Official,1,0,0.3,0,2,0,317,604
TEMPLATE-TEST,1,0,0.2,0,1,0,317,500
SpaceMice,1,0,0.1,0,1,0,317,999
New celestial objects,1,0,0.2,0,2,0,317,"1,002"
Dominion Game,1,0,0.2,0,1,0,317,500
Van Minion,1,0,0.9,0.2,7,1.1,314,787
Lucky Treasure,1,0,0.2,0,2,0,314,888
OTOmotors,1,0,0.3,0.1,4,0.3,313,"1,259"
CryptoManga Genesis,1,0,0.2,0.1,3,0.2,313,"1,352"
BlockBirds,1,0,0.2,0.1,2,0.2,313,"1,037"
Lucky Cats,1,0,0.1,0,1,0,312,999
OnlyOnePixel,1,0,0.1,0,1,0,312,"1,024"
MetaTravelers: Genesis Stone,1,0,,0.2,1,0.2,311,1
CryptoLeos,1,0,0.1,0.1,1,0.1,311,"1,000"
tBTC Deposit Token V2,1,0,0,0,1,0,311,"4,224"
Golden Voyager Party V2,1,0,0.2,0,1,0,310,669
The Vampire Game,1,0,0.1,0,2,0,310,"2,098"
Literal Squid Game,1,0,0.3,0,4,0,309,"1,630"
Betman Club,1,0,0.6,0,3,0.1,308,520
PiratePunksNFT,1,0,0.2,0,2,0,308,953
Kongzillas,1,0,0.2,0,1,0,307,508
Invisible Ape Yacht Club,1,0,0.5,0,10,0,306,"2,110"
pxPlanets,1,0,0.5,0,10,0,306,"1,983"
White-Cat,1,0,0.1,0.1,1,0.1,304,690
Pudgy Pixel Gang,1,0,0,0,1,0,303,"8,780"
Pawsperity Cats,1,0,0.1,0,1,0,303,"1,893"
Nemesis Grid,1,0,0.6,0,3,0.1,302,500
Crypto Furries House,1,0,0.1,0,1,0,302,744
Baby Monkes,1,0,0.2,0,1,0,301,537
456 Collectors Club Official by Zevi G,1,0,2.8,0.3,25,7,300,900
Kandi Kids,1,0,0.4,0.1,2,0.1,300,495
Pirate Octopus,1,0,0,0,1,0,300,"3,143"
Bye BanX,1,0,0.3,0.4,2,0.8,299,666
Barnyard Fashionistas Official,1,0,0.9,0,11,0.2,299,"1,166"
Genesis.sol - solSeedlings,1,0,0.4,0.2,2,0.3,298,512
Mr. Everybody X Soda Factory,1,0,0.2,0,1,0,298,607
Adam Lister Studio,1,0,0.1,0,1,0,297,"1,000"
Loot Resources,1,0,0.1,0,2,0,296,"1,634"
CryptoApesNFT,1,0,0.6,0,3,0,295,480
TRIPTCIP // OBJECTS,1,0,0.6,0,5,0.2,294,789
Crypto Titles,1,0,0.3,1,1,1,292,338
Wolf Doods,1,0,1.5,0,20,0,292,"1,297"
Phudgy Penguins Official,1,0,0.1,0,3,0,292,"2,886"
MetaTowers,1,0,0.6,0.2,5,1.2,290,915
Crypto Country Club,1,0,0.8,0,5,0.2,290,663
TOTO IS A GOOD DOG,1,0,0.2,0,2,0,290,"1,254"
Ethereal Collective Art Supporter,1,0,0.2,0.2,1,0.2,288,618
Nishikigoi NFT,1,0,0.3,0.1,1,0.1,288,369
KamaGang: The VSFW Edition,1,0,0.1,0,1,0,288,746
Nessies,1,0,0.3,0,2,0.1,287,598
Venus IV,1,0,0.3,0,1,0,285,293
Chiptos,1,0,0.2,2,1,2,284,512
The Angry Ostrich Country Club,1,0,0.6,0,3,0.1,284,500
House Plants by Felt Zine,1,0,0.1,0.1,1,0.1,284,773
Blazed Cats Theme Song,1,0,0.2,0,1,0,284,520
Billionaire Coyote Cartel,1,0,0.1,0.4,1,0.4,283,"2,222"
Les Non Fongible Femmes,1,0,0.2,0,1,0,283,500
Stake DAO NFTs,1,0,0.2,1.9,1,1.9,281,554
Slimes Art,1,0,25,0,1,0,280,4
Voxxt Primal,1,0,1.6,0.1,12,1.7,279,775
Z-Huge,1,0,0.2,0.7,1,0.7,279,512
SamuraiDoge3D,1,0,0.8,0,5,0.2,279,624
Milliondollartokenpage.com,1,0,0.1,0,1,0,278,"1,452"
MEMBER PASS,1,0,0.2,0,1,0,278,551
Punk Portraits by David Lawrence is moving,1,0,1.3,0.1,13,0.8,277,"1,000"
Crazy Carl Collective Genesis NFTs,1,0,33.3,0.5,1,0.5,277,3
Mellow Mice,1,0,0.4,0,2,0,276,507
Ye DAO,1,0,2.3,0,10,0,276,443
ScoopDog Squad,1,0,0.2,0,1,0,276,664
Voodoo Salad's Editions,1,0,50,0,9,0.3,275,18
Charged Particles - LEPTONv2,1,0,0.1,0,1,0,275,865
lush_render,1,0,0.5,0,2,0,275,415
Girl Cats Club,1,0,0.2,0,1,0,274,688
The Gnome Trophy Race,1,0,9.1,0,1,0,274,11
HewerBox,1,0,0.4,0,1,0,274,275
Take Heart Collection,1,0,0.4,0.8,1,0.8,273,285
ArtGrails,1,0,0.3,0.1,2,0.2,273,676
SuperMan.Eth,1,0,0.1,0,1,0,273,"1,000"
Sleepwalkers NFT,1,0,0.2,0,1,0,273,573
KNEECAPs,1,0,2,0,24,0.2,272,"1,223"
Tools of Rock Albums,1,0,4,0,1,0,272,25
Good Boi Society,1,0,0.2,0,1,0,272,459
Characters (for games),1,0,0.2,0,3,0,272,"1,298"
WTF CUBES,1,0,0.2,0,1,0,272,601
Pixel Runes by PixelGan,1,0,1,0,10,0,271,"1,000"
suPPhunks,1,0,0.1,0,1,0,271,834
Bored Awesome Apes,1,0,0.2,6.9,1,6.9,269,468
Surge Emergence,1,0,0.3,0.1,1,0.1,269,380
Bitchcoin,1,0,0,1.4,1,1.4,268,"3,291"
BITDAWGS,1,0,0.1,0,1,0,268,"1,116"
Genesis Critterz,1,0,0,0.8,1,0.8,266,"3,874"
Buidlverse,1,0,1.5,0,40,0.4,266,"2,617"
PicoPals,1,0,0.6,0,3,0,266,510
Pudgy Penguins 3D,1,0,0.9,0,8,0,266,888
YellowDAO,1,0,0.4,1,1,1,265,265
The Voxel Universe,1,0,1,0,5,0.2,264,500
WOMEN OF PIXEL,1,0,0.4,0,24,0,264,"5,564"
CryptoZilla,1,0,0.1,0.2,1,0.2,263,"1,000"
MetaCollar Official,1,0,0.1,0.1,2,0.2,263,"1,419"
Scallywags,1,0,0.1,0.1,1,0.1,263,"1,121"
earlyworm works,1,0,0.7,0.1,1,0.1,263,143
Oink's Backyard BBQ,1,0,0.1,0,1,0,263,"1,288"
Chic Cow&Bullzz Collection (SWAPPED TO POLYGON),1,0,0.6,0,5,0.1,262,801
SPIRIT ANIMALS - WEARABLES,1,0,0.3,0,2,0,262,669
Dyl,1,0,14.3,0,2,0,262,14
Suspicious Chameleons,1,0,0,0,1,0,262,"3,000"
Crypto Basel,1,0,,0,1,0,261,1
TurtleClub,1,0,0.5,0,10,0,261,"1,999"
DinoPunksNFT,1,0,1.3,0,5,0.1,260,400
thedudes,1,0,0.6,1.5,3,4.5,259,512
Crypto Dolphins,1,0,2.2,0,1,0,259,46
Alchemech V2,1,0,0.4,0.2,1,0.2,258,258
Long Neckie Ladies X Gabe Weis Collection,1,0,11.1,0.2,1,0.2,258,9
GAN Nature,1,0,0.2,0,1,0,258,448
PepeDapp Remint,1,0,2,0.1,1,0.1,256,50
Charged Particles - Lepton (NOT USED),1,0,0.1,0,1,0,256,837
STACY Originals,1,0,20,0,1,0,256,5
Slyguise,1,0,0.3,0.2,3,0.6,255,"1,000"
Paradise Trippies Eggs,1,0,33.3,0.4,1,0.4,255,3
Creepy Creams: Mecha Melters,1,0,0.7,0,4,0.1,255,612
Bastard GAN Apes,1,0,0.1,0,1,0,255,"1,128"
Far Out Punks,1,0,0.1,0,1,0,255,727
The Society Collector Token,1,0,0.3,0.3,1,0.3,254,350
Ethersparks,1,0,0.2,0,2,0,254,933
ETH-MEN Legacy,1,0,14.3,0.1,2,0.2,253,14
3D mfers by mferverse,1,0,0.7,0,3,0.1,253,436
Universe In A Cube. Packs,1,0,0.1,0,1,0,253,703
The Ninja Hideout Females (Genesis),1,0,0.2,0,1,0,253,444
CryptoFrogz,1,0,1.8,0,9,0.3,252,493
Ethemerals (MERALS),1,0,0.1,0,1,0,252,"1,001"
Banana Heist,1,0,0.1,0,1,0,251,"1,428"
TCC,1,0,0.2,0,1,0,251,559
NFTC Genesis Token,1,0,,0.3,1,0.3,250,1
RetroViz,1,0,0.7,0,3,0.1,250,459
Deadlarvaz,1,0,0.1,0,1,0,250,837
21Hundreds Official,1,0,0.1,0,1,0,249,807
Unidentified contract - mYS8z78K0y,1,0,,0,1,0,249,1
PhilipInternProject,1,0,0.1,0.4,1,0.4,247,"1,004"
Pit Boss Billionaires,1,0,0.2,0.3,1,0.3,247,500
gmdegens,1,0,0.2,0,1,0,247,577
Boss Logic,1,0,0.1,0.1,2,0.2,246,"1,754"
BAMC x Super Shiba Club,1,0,0.3,0,1,0,246,333
This Shard Does Not Exist,1,0,0.2,0,1,0,245,520
Cool Doods Official,1,0,0.7,0,7,0,245,984
JAY PELLE - NFT COLLECTION,1,0,,0.3,1,0.3,244,1
Bread Heads,1,0,0.2,0.1,1,0.1,244,500
Glitched Worms,1,0,0.6,0,3,0,244,495
Journey to the west OG,1,0,50,0,1,0,244,2
MetaForce Rampage Alpha,1,0,0.7,0.1,4,0.3,243,584
The Dead DOTD,1,0,0.6,0,3,0,243,511
Cranes (2021 Special Editions),1,0,,0,3,0.1,242,3
ShroomBits (ETH),1,0,0.2,0,2,0,242,890
