Project,PROOF Owners Holding,% PROOF Members Holding,% Project Held by PROOF Members,Project Floor,Total NFTs Held by PROOF Members,Total Value Held (ETH),Total Owners,Total Supply
Evaverse,9,1,0.3,0.2,27,6.3,"3,227","10,000"
Northern Guilds - Guild of Thor,9,1,0.4,0,38,1.7,"3,027","9,999"
Cosmic Labs,9,1,0.1,0.1,13,0.9,"2,977","9,000"
BASTARD GAN PUNKS V2,9,1,0.3,0.3,35,9.1,"2,837","11,305"
RUG PUNKS,9,1,0.3,0,27,0.1,"2,611","10,000"
Farm Land by Pixels,9,1,0.4,0.3,21,7.3,"2,457","5,000"
GalacticMonkes,9,1,0.4,0,33,0.6,"2,410","9,156"
Wilder World,9,1,0.7,0.5,50,24,"2,272","6,792"
Ash Zero,9,1,0.4,0,9,0.3,"2,230","2,293"
Boring Bananas Co.,9,1,0.3,0,27,0.3,"2,214","8,888"
Animathereum,9,1,0.8,0,76,0,"2,206","9,999"
Goat Soup by Andy Milonakis,9,1,0.4,0.1,14,1.5,"2,204","3,744"
SamuraiCats by Hiro Ando,9,1,0.5,0.1,23,1.8,"2,054","4,747"
ZombieCats,9,1,2.6,0,256,5.1,"2,053","9,998"
Warriors of Aradena,9,1,0.4,0.1,29,2.3,"2,048","8,000"
Oni Ronin: Ascension,9,1,0.5,0,21,0.4,"2,040","4,129"
Crypteriors: Locals,9,1,0.5,0,22,0,"1,802","4,307"
Adventure Cards,9,1,1,0,47,0.9,"1,778","4,901"
The Club721,9,1,0.6,0.3,12,3.5,"1,759","1,961"
